INFO | Test - WorstChannelByMAE: ch=6 mae=0.075042 (n=6674)
INFO | - Epoch 000, ExpID 16875 best_epoch=0 improved=1
INFO | Train - Loss (last batch): 0.00494
INFO | Val - Loss, MSE, MAE: 0.00679, 0.00679, 0.05913
INFO | Test - Best epoch, Loss, MSE, MAE: 0, 0.00586, 0.00586, 0.05509
INFO | Test - Points (EXACT): total_masked=96963 correct=34480 right_rate=35.5600%
INFO | Test - WorstChannelByMAE: ch=9 mae=0.048377 (n=8457)
INFO | - Epoch 001, ExpID 16875 best_epoch=1 improved=1
INFO | Train - Loss (last batch): 0.00253
INFO | Val - Loss, MSE, MAE: 0.00352, 0.00352, 0.03844
INFO | Test - Best epoch, Loss, MSE, MAE: 1, 0.00331, 0.00331, 0.03760
INFO | Test - Points (EXACT): total_masked=96963 correct=49659 right_rate=51.2144%
INFO | Test - WorstChannelByMAE: ch=9 mae=0.041433 (n=8457)
INFO | - Epoch 002, ExpID 16875 best_epoch=2 improved=1
INFO | Train - Loss (last batch): 0.00260
INFO | Val - Loss, MSE, MAE: 0.00322, 0.00322, 0.03500
INFO | Test - Best epoch, Loss, MSE, MAE: 2, 0.00300, 0.00300, 0.03404
INFO | Test - Points (EXACT): total_masked=96963 correct=55963 right_rate=57.7158%
INFO | - Epoch 003, ExpID 16875 best_epoch=2 improved=0
INFO | Train - Loss (last batch): 0.00266
INFO | Val - Loss, MSE, MAE: 0.00323, 0.00323, 0.03548
INFO | Test - Best epoch, Loss, MSE, MAE: 2, 0.00300, 0.00300, 0.03404
INFO | Test - Points (EXACT): total_masked=96963 correct=55963 right_rate=57.7158%
INFO | Test - WorstChannelByMAE: ch=9 mae=0.040288 (n=8457)
INFO | - Epoch 004, ExpID 16875 best_epoch=4 improved=1
INFO | Train - Loss (last batch): 0.00337
INFO | Val - Loss, MSE, MAE: 0.00316, 0.00316, 0.03483
INFO | Test - Best epoch, Loss, MSE, MAE: 4, 0.00295, 0.00295, 0.03390
INFO | Test - Points (EXACT): total_masked=96963 correct=55582 right_rate=57.3229%
INFO | - Epoch 005, ExpID 16875 best_epoch=4 improved=0
INFO | Train - Loss (last batch): 0.00355
INFO | Val - Loss, MSE, MAE: 0.00342, 0.00342, 0.03904
INFO | Test - Best epoch, Loss, MSE, MAE: 4, 0.00295, 0.00295, 0.03390
INFO | Test - Points (EXACT): total_masked=96963 correct=55582 right_rate=57.3229%
INFO | Test - WorstChannelByMAE: ch=9 mae=0.040664 (n=8457)
INFO | - Epoch 006, ExpID 16875 best_epoch=6 improved=1
INFO | Train - Loss (last batch): 0.00284
INFO | Val - Loss, MSE, MAE: 0.00309, 0.00309, 0.03392
INFO | Test - Best epoch, Loss, MSE, MAE: 6, 0.00290, 0.00290, 0.03303
INFO | Test - Points (EXACT): total_masked=96963 correct=57046 right_rate=58.8328%
INFO | - Epoch 007, ExpID 16875 best_epoch=6 improved=0
INFO | Train - Loss (last batch): 0.00317
INFO | Val - Loss, MSE, MAE: 0.00314, 0.00314, 0.03468
INFO | Test - Best epoch, Loss, MSE, MAE: 6, 0.00290, 0.00290, 0.03303
INFO | Test - Points (EXACT): total_masked=96963 correct=57046 right_rate=58.8328%
INFO | Test - WorstChannelByMAE: ch=9 mae=0.039903 (n=8457)
