2025-12-22 02:02:45,696 | INFO | SYSTEM | epoch=0 time=4.19s lr=0.001 grad_norm=7.126075 mask_ratio_lastbatch=0.226326 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1358.00 cuda_mem_max_alloc_mb=696.91
2025-12-22 02:02:49,179 | INFO | SYSTEM | epoch=1 time=3.48s lr=0.001 grad_norm=7.282276 mask_ratio_lastbatch=0.227036 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1440.00 cuda_mem_max_alloc_mb=697.96
2025-12-22 02:02:52,679 | INFO | SYSTEM | epoch=2 time=3.50s lr=0.001 grad_norm=7.184886 mask_ratio_lastbatch=0.231652 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1440.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:02:56,135 | INFO | SYSTEM | epoch=3 time=3.45s lr=0.001 grad_norm=7.169868 mask_ratio_lastbatch=0.231534 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1440.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:02:59,250 | INFO | SYSTEM | epoch=4 time=3.11s lr=0.001 grad_norm=7.271202 mask_ratio_lastbatch=0.226089 cuda_mem_alloc_mb=95.49 cuda_mem_reserved_mb=1440.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:03:02,732 | INFO | SYSTEM | epoch=5 time=3.48s lr=0.001 grad_norm=7.227406 mask_ratio_lastbatch=0.228930 cuda_mem_alloc_mb=95.54 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:03:05,849 | INFO | SYSTEM | epoch=6 time=3.12s lr=0.001 grad_norm=7.288323 mask_ratio_lastbatch=0.229877 cuda_mem_alloc_mb=95.49 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:03:09,348 | INFO | SYSTEM | epoch=7 time=3.50s lr=0.001 grad_norm=7.242470 mask_ratio_lastbatch=0.231652 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:03:12,743 | INFO | SYSTEM | epoch=8 time=3.39s lr=0.001 grad_norm=7.281871 mask_ratio_lastbatch=0.229048 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:03:15,827 | INFO | SYSTEM | epoch=9 time=3.08s lr=0.001 grad_norm=7.312557 mask_ratio_lastbatch=0.228930 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:03:18,956 | INFO | SYSTEM | epoch=10 time=3.13s lr=0.001 grad_norm=7.276101 mask_ratio_lastbatch=0.232836 cuda_mem_alloc_mb=95.49 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:03:22,060 | INFO | SYSTEM | epoch=11 time=3.10s lr=0.001 grad_norm=7.337989 mask_ratio_lastbatch=0.225024 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:03:25,409 | INFO | SYSTEM | epoch=12 time=3.35s lr=0.001 grad_norm=7.309863 mask_ratio_lastbatch=0.230232 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:03:28,500 | INFO | SYSTEM | epoch=13 time=3.09s lr=0.001 grad_norm=7.321591 mask_ratio_lastbatch=0.225734 cuda_mem_alloc_mb=95.54 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:03:31,659 | INFO | SYSTEM | epoch=14 time=3.16s lr=0.001 grad_norm=7.263584 mask_ratio_lastbatch=0.226326 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:03:35,109 | INFO | SYSTEM | epoch=15 time=3.45s lr=0.001 grad_norm=7.262511 mask_ratio_lastbatch=0.229640 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:03:38,234 | INFO | SYSTEM | epoch=16 time=3.12s lr=0.001 grad_norm=7.282563 mask_ratio_lastbatch=0.225616 cuda_mem_alloc_mb=95.49 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:03:41,332 | INFO | SYSTEM | epoch=17 time=3.10s lr=0.001 grad_norm=7.306724 mask_ratio_lastbatch=0.224905 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:03:44,843 | INFO | SYSTEM | epoch=18 time=3.11s lr=0.001 grad_norm=7.304074 mask_ratio_lastbatch=0.227391 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
2025-12-22 02:03:47,962 | INFO | SYSTEM | epoch=19 time=3.12s lr=0.001 grad_norm=7.319858 mask_ratio_lastbatch=0.226326 cuda_mem_alloc_mb=95.45 cuda_mem_reserved_mb=1522.00 cuda_mem_max_alloc_mb=732.50
