2025-12-21 10:18:05,140 | INFO | SYSTEM | epoch=0 time=27.00s lr=0.001 grad_norm=1.560653 mask_ratio_lastbatch=0.173079 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2550.00 cuda_mem_max_alloc_mb=2356.11
2025-12-21 10:18:31,403 | INFO | SYSTEM | epoch=1 time=26.26s lr=0.001 grad_norm=1.641116 mask_ratio_lastbatch=0.167927 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2552.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:18:57,733 | INFO | SYSTEM | epoch=2 time=26.33s lr=0.001 grad_norm=1.726984 mask_ratio_lastbatch=0.162927 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2552.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:19:21,819 | INFO | SYSTEM | epoch=3 time=24.08s lr=0.001 grad_norm=1.831331 mask_ratio_lastbatch=0.177774 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2552.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:19:45,882 | INFO | SYSTEM | epoch=4 time=24.06s lr=0.001 grad_norm=1.947203 mask_ratio_lastbatch=0.169604 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2552.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:20:12,325 | INFO | SYSTEM | epoch=5 time=26.44s lr=0.001 grad_norm=2.048749 mask_ratio_lastbatch=0.179177 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2552.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:20:36,474 | INFO | SYSTEM | epoch=6 time=24.15s lr=0.001 grad_norm=2.167865 mask_ratio_lastbatch=0.173232 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2552.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:21:02,847 | INFO | SYSTEM | epoch=7 time=26.37s lr=0.001 grad_norm=2.249158 mask_ratio_lastbatch=0.164970 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2552.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:21:26,978 | INFO | SYSTEM | epoch=8 time=24.13s lr=0.001 grad_norm=2.376963 mask_ratio_lastbatch=0.173506 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2552.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:21:51,096 | INFO | SYSTEM | epoch=9 time=24.12s lr=0.001 grad_norm=2.479462 mask_ratio_lastbatch=0.167317 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2552.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:22:15,197 | INFO | SYSTEM | epoch=10 time=24.10s lr=0.001 grad_norm=2.560477 mask_ratio_lastbatch=0.170549 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2552.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:22:39,329 | INFO | SYSTEM | epoch=11 time=24.13s lr=0.001 grad_norm=2.682936 mask_ratio_lastbatch=0.179695 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2552.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:23:03,449 | INFO | SYSTEM | epoch=12 time=24.12s lr=0.001 grad_norm=2.751123 mask_ratio_lastbatch=0.166860 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2552.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:23:27,544 | INFO | SYSTEM | epoch=13 time=24.09s lr=0.001 grad_norm=2.891004 mask_ratio_lastbatch=0.168171 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2552.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:23:51,683 | INFO | SYSTEM | epoch=14 time=24.14s lr=0.001 grad_norm=2.982949 mask_ratio_lastbatch=0.173445 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2552.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:24:15,890 | INFO | SYSTEM | epoch=15 time=24.21s lr=0.001 grad_norm=3.101855 mask_ratio_lastbatch=0.171921 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2552.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:24:42,385 | INFO | SYSTEM | epoch=16 time=26.50s lr=0.001 grad_norm=3.207123 mask_ratio_lastbatch=0.169146 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2552.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:25:06,645 | INFO | SYSTEM | epoch=17 time=24.26s lr=0.001 grad_norm=3.284084 mask_ratio_lastbatch=0.172317 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:25:30,851 | INFO | SYSTEM | epoch=18 time=24.21s lr=0.001 grad_norm=3.373579 mask_ratio_lastbatch=0.171768 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:25:57,364 | INFO | SYSTEM | epoch=19 time=26.51s lr=0.001 grad_norm=3.465909 mask_ratio_lastbatch=0.169024 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:26:21,550 | INFO | SYSTEM | epoch=20 time=24.19s lr=0.001 grad_norm=3.537284 mask_ratio_lastbatch=0.175579 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:26:45,771 | INFO | SYSTEM | epoch=21 time=24.22s lr=0.001 grad_norm=3.627040 mask_ratio_lastbatch=0.175366 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:27:09,975 | INFO | SYSTEM | epoch=22 time=24.20s lr=0.001 grad_norm=3.766011 mask_ratio_lastbatch=0.169451 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:27:34,147 | INFO | SYSTEM | epoch=23 time=24.17s lr=0.001 grad_norm=3.849983 mask_ratio_lastbatch=0.171494 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:28:00,562 | INFO | SYSTEM | epoch=24 time=26.41s lr=0.001 grad_norm=3.929574 mask_ratio_lastbatch=0.182866 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:28:24,669 | INFO | SYSTEM | epoch=25 time=24.11s lr=0.001 grad_norm=4.008503 mask_ratio_lastbatch=0.156768 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:28:48,780 | INFO | SYSTEM | epoch=26 time=24.11s lr=0.001 grad_norm=4.120958 mask_ratio_lastbatch=0.168933 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:29:12,919 | INFO | SYSTEM | epoch=27 time=24.14s lr=0.001 grad_norm=4.224776 mask_ratio_lastbatch=0.169482 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:29:37,182 | INFO | SYSTEM | epoch=28 time=24.26s lr=0.001 grad_norm=4.313474 mask_ratio_lastbatch=0.166159 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:30:01,391 | INFO | SYSTEM | epoch=29 time=24.21s lr=0.001 grad_norm=4.377731 mask_ratio_lastbatch=0.165518 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:30:25,611 | INFO | SYSTEM | epoch=30 time=24.22s lr=0.001 grad_norm=4.495718 mask_ratio_lastbatch=0.173933 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:30:49,745 | INFO | SYSTEM | epoch=31 time=24.13s lr=0.001 grad_norm=4.627849 mask_ratio_lastbatch=0.170305 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:31:13,996 | INFO | SYSTEM | epoch=32 time=24.25s lr=0.001 grad_norm=4.714262 mask_ratio_lastbatch=0.163476 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:31:38,224 | INFO | SYSTEM | epoch=33 time=24.23s lr=0.0005 grad_norm=4.828475 mask_ratio_lastbatch=0.170396 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:32:02,453 | INFO | SYSTEM | epoch=34 time=24.23s lr=0.0005 grad_norm=4.809918 mask_ratio_lastbatch=0.175305 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:32:26,674 | INFO | SYSTEM | epoch=35 time=24.22s lr=0.0005 grad_norm=4.896663 mask_ratio_lastbatch=0.172500 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:32:50,921 | INFO | SYSTEM | epoch=36 time=24.25s lr=0.0005 grad_norm=4.940310 mask_ratio_lastbatch=0.174116 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:33:15,120 | INFO | SYSTEM | epoch=37 time=24.20s lr=0.0005 grad_norm=4.989385 mask_ratio_lastbatch=0.178537 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:33:39,304 | INFO | SYSTEM | epoch=38 time=24.18s lr=0.0005 grad_norm=5.071315 mask_ratio_lastbatch=0.162287 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
2025-12-21 10:34:03,481 | INFO | SYSTEM | epoch=39 time=24.18s lr=0.0005 grad_norm=5.126148 mask_ratio_lastbatch=0.154421 cuda_mem_alloc_mb=240.55 cuda_mem_reserved_mb=2554.00 cuda_mem_max_alloc_mb=2357.46
