INFO | Test - WorstChannelByMAE: ch=0 mae=0.532324 (n=8076)
INFO | - Epoch 000, ExpID 1485 best_epoch=0 improved=1
INFO | Train - Loss (last batch): 0.79079
INFO | Val - Loss, MSE, MAE: 0.86151, 0.86151, 0.44276
INFO | Test - Best epoch, Loss, MSE, MAE: 0, 0.55995, 0.55995, 0.41657
INFO | Test - Points (EXACT): total_masked=39143 correct=995 right_rate=2.5420%
INFO | Test - WorstChannelByMAE: ch=0 mae=0.480113 (n=8076)
INFO | - Epoch 001, ExpID 1485 best_epoch=1 improved=1
INFO | Train - Loss (last batch): 0.36152
INFO | Val - Loss, MSE, MAE: 0.80498, 0.80498, 0.37396
INFO | Test - Best epoch, Loss, MSE, MAE: 1, 0.53146, 0.53146, 0.35027
INFO | Test - Points (EXACT): total_masked=39143 correct=929 right_rate=2.3733%
INFO | Test - WorstChannelByMAE: ch=3 mae=0.434988 (n=7800)
INFO | - Epoch 002, ExpID 1485 best_epoch=2 improved=1
INFO | Train - Loss (last batch): 0.28635
INFO | Val - Loss, MSE, MAE: 0.75664, 0.75664, 0.34818
INFO | Test - Best epoch, Loss, MSE, MAE: 2, 0.53175, 0.53175, 0.32678
INFO | Test - Points (EXACT): total_masked=39143 correct=1477 right_rate=3.7733%
INFO | - Epoch 003, ExpID 1485 best_epoch=2 improved=0
INFO | Train - Loss (last batch): 0.32220
INFO | Val - Loss, MSE, MAE: 0.77594, 0.77594, 0.34848
INFO | Test - Best epoch, Loss, MSE, MAE: 2, 0.53175, 0.53175, 0.32678
INFO | Test - Points (EXACT): total_masked=39143 correct=1477 right_rate=3.7733%
INFO | - Epoch 004, ExpID 1485 best_epoch=2 improved=0
INFO | Train - Loss (last batch): 0.46626
INFO | Val - Loss, MSE, MAE: 0.77343, 0.77343, 0.37620
INFO | Test - Best epoch, Loss, MSE, MAE: 2, 0.53175, 0.53175, 0.32678
INFO | Test - Points (EXACT): total_masked=39143 correct=1477 right_rate=3.7733%
INFO | Test - WorstChannelByMAE: ch=0 mae=0.417385 (n=8076)
INFO | - Epoch 005, ExpID 1485 best_epoch=5 improved=1
INFO | Train - Loss (last batch): 0.93514
INFO | Val - Loss, MSE, MAE: 0.71292, 0.71292, 0.34555
INFO | Test - Best epoch, Loss, MSE, MAE: 5, 0.51885, 0.51885, 0.32450
INFO | Test - Points (EXACT): total_masked=39143 correct=1757 right_rate=4.4887%
INFO | - Epoch 006, ExpID 1485 best_epoch=5 improved=0
INFO | Train - Loss (last batch): 0.52735
INFO | Val - Loss, MSE, MAE: 0.76149, 0.76149, 0.34783
INFO | Test - Best epoch, Loss, MSE, MAE: 5, 0.51885, 0.51885, 0.32450
INFO | Test - Points (EXACT): total_masked=39143 correct=1757 right_rate=4.4887%
INFO | - Epoch 007, ExpID 1485 best_epoch=5 improved=0
INFO | Train - Loss (last batch): 0.39014
INFO | Val - Loss, MSE, MAE: 0.76974, 0.76974, 0.34283
INFO | Test - Best epoch, Loss, MSE, MAE: 5, 0.51885, 0.51885, 0.32450
INFO | Test - Points (EXACT): total_masked=39143 correct=1757 right_rate=4.4887%
INFO | - Epoch 008, ExpID 1485 best_epoch=5 improved=0
INFO | Train - Loss (last batch): 0.35637
INFO | Val - Loss, MSE, MAE: 0.71814, 0.71814, 0.34245
INFO | Test - Best epoch, Loss, MSE, MAE: 5, 0.51885, 0.51885, 0.32450
INFO | Test - Points (EXACT): total_masked=39143 correct=1757 right_rate=4.4887%
INFO | - Epoch 009, ExpID 1485 best_epoch=5 improved=0
INFO | Train - Loss (last batch): 0.62532
INFO | Val - Loss, MSE, MAE: 0.79644, 0.79644, 0.34820
INFO | Test - Best epoch, Loss, MSE, MAE: 5, 0.51885, 0.51885, 0.32450
INFO | Test - Points (EXACT): total_masked=39143 correct=1757 right_rate=4.4887%
INFO | Test - WorstChannelByMAE: ch=0 mae=0.442390 (n=8076)
INFO | - Epoch 010, ExpID 1485 best_epoch=10 improved=1
INFO | Train - Loss (last batch): 0.30230
INFO | Val - Loss, MSE, MAE: 0.70639, 0.70639, 0.33813
INFO | Test - Best epoch, Loss, MSE, MAE: 10, 0.50890, 0.50890, 0.31479
INFO | Test - Points (EXACT): total_masked=39143 correct=2328 right_rate=5.9474%
INFO | Test - WorstChannelByMAE: ch=0 mae=0.472731 (n=8076)
INFO | - Epoch 011, ExpID 1485 best_epoch=11 improved=1
INFO | Train - Loss (last batch): 0.72194
INFO | Val - Loss, MSE, MAE: 0.68571, 0.68571, 0.35503
INFO | Test - Best epoch, Loss, MSE, MAE: 11, 0.51720, 0.51720, 0.33249
INFO | Test - Points (EXACT): total_masked=39143 correct=1298 right_rate=3.3160%
INFO | - Epoch 012, ExpID 1485 best_epoch=11 improved=0
INFO | Train - Loss (last batch): 0.35557
INFO | Val - Loss, MSE, MAE: 0.69846, 0.69846, 0.36243
INFO | Test - Best epoch, Loss, MSE, MAE: 11, 0.51720, 0.51720, 0.33249
INFO | Test - Points (EXACT): total_masked=39143 correct=1298 right_rate=3.3160%
INFO | Test - WorstChannelByMAE: ch=0 mae=0.450307 (n=8076)
INFO | - Epoch 013, ExpID 1485 best_epoch=13 improved=1
INFO | Train - Loss (last batch): 0.31852
INFO | Val - Loss, MSE, MAE: 0.64337, 0.64337, 0.34029
INFO | Test - Best epoch, Loss, MSE, MAE: 13, 0.50832, 0.50832, 0.32052
INFO | Test - Points (EXACT): total_masked=39143 correct=3411 right_rate=8.7142%
INFO | - Epoch 014, ExpID 1485 best_epoch=13 improved=0
INFO | Train - Loss (last batch): 0.60065
INFO | Val - Loss, MSE, MAE: 0.70298, 0.70298, 0.35829
INFO | Test - Best epoch, Loss, MSE, MAE: 13, 0.50832, 0.50832, 0.32052
INFO | Test - Points (EXACT): total_masked=39143 correct=3411 right_rate=8.7142%
INFO | - Epoch 015, ExpID 1485 best_epoch=13 improved=0
INFO | Train - Loss (last batch): 0.38240
INFO | Val - Loss, MSE, MAE: 0.70075, 0.70075, 0.33220
INFO | Test - Best epoch, Loss, MSE, MAE: 13, 0.50832, 0.50832, 0.32052
INFO | Test - Points (EXACT): total_masked=39143 correct=3411 right_rate=8.7142%
INFO | - Epoch 016, ExpID 1485 best_epoch=13 improved=0
INFO | Train - Loss (last batch): 0.44327
INFO | Val - Loss, MSE, MAE: 0.69081, 0.69081, 0.33497
INFO | Test - Best epoch, Loss, MSE, MAE: 13, 0.50832, 0.50832, 0.32052
INFO | Test - Points (EXACT): total_masked=39143 correct=3411 right_rate=8.7142%
INFO | - Epoch 017, ExpID 1485 best_epoch=13 improved=0
INFO | Train - Loss (last batch): 0.48514
INFO | Val - Loss, MSE, MAE: 0.68722, 0.68722, 0.35607
INFO | Test - Best epoch, Loss, MSE, MAE: 13, 0.50832, 0.50832, 0.32052
INFO | Test - Points (EXACT): total_masked=39143 correct=3411 right_rate=8.7142%
INFO | - Epoch 018, ExpID 1485 best_epoch=13 improved=0
INFO | Train - Loss (last batch): 0.48156
INFO | Val - Loss, MSE, MAE: 0.78634, 0.78634, 0.33972
INFO | Test - Best epoch, Loss, MSE, MAE: 13, 0.50832, 0.50832, 0.32052
INFO | Test - Points (EXACT): total_masked=39143 correct=3411 right_rate=8.7142%
INFO | - Epoch 019, ExpID 1485 best_epoch=13 improved=0
INFO | Train - Loss (last batch): 0.35107
INFO | Val - Loss, MSE, MAE: 0.76011, 0.76011, 0.34336
INFO | Test - Best epoch, Loss, MSE, MAE: 13, 0.50832, 0.50832, 0.32052
INFO | Test - Points (EXACT): total_masked=39143 correct=3411 right_rate=8.7142%
INFO | - Epoch 020, ExpID 1485 best_epoch=13 improved=0
INFO | Train - Loss (last batch): 0.58610
INFO | Val - Loss, MSE, MAE: 0.68377, 0.68377, 0.33725
INFO | Test - Best epoch, Loss, MSE, MAE: 13, 0.50832, 0.50832, 0.32052
INFO | Test - Points (EXACT): total_masked=39143 correct=3411 right_rate=8.7142%
INFO | - Epoch 021, ExpID 1485 best_epoch=13 improved=0
INFO | Train - Loss (last batch): 0.28773
INFO | Val - Loss, MSE, MAE: 0.67993, 0.67993, 0.32540
INFO | Test - Best epoch, Loss, MSE, MAE: 13, 0.50832, 0.50832, 0.32052
INFO | Test - Points (EXACT): total_masked=39143 correct=3411 right_rate=8.7142%
INFO | - Epoch 022, ExpID 1485 best_epoch=13 improved=0
INFO | Train - Loss (last batch): 0.35723
INFO | Val - Loss, MSE, MAE: 0.66956, 0.66956, 0.33539
INFO | Test - Best epoch, Loss, MSE, MAE: 13, 0.50832, 0.50832, 0.32052
INFO | Test - Points (EXACT): total_masked=39143 correct=3411 right_rate=8.7142%
INFO | - Epoch 023, ExpID 1485 best_epoch=13 improved=0
INFO | Train - Loss (last batch): 0.40190
INFO | Val - Loss, MSE, MAE: 0.71995, 0.71995, 0.34453
INFO | Test - Best epoch, Loss, MSE, MAE: 13, 0.50832, 0.50832, 0.32052
INFO | Test - Points (EXACT): total_masked=39143 correct=3411 right_rate=8.7142%
INFO | - Epoch 024, ExpID 1485 best_epoch=13 improved=0
INFO | Train - Loss (last batch): 0.50682
INFO | Val - Loss, MSE, MAE: 0.69124, 0.69124, 0.33678
INFO | Test - Best epoch, Loss, MSE, MAE: 13, 0.50832, 0.50832, 0.32052
INFO | Test - Points (EXACT): total_masked=39143 correct=3411 right_rate=8.7142%
INFO | - Epoch 025, ExpID 1485 best_epoch=13 improved=0
INFO | Train - Loss (last batch): 0.45584
INFO | Val - Loss, MSE, MAE: 0.70986, 0.70986, 0.32894
INFO | Test - Best epoch, Loss, MSE, MAE: 13, 0.50832, 0.50832, 0.32052
INFO | Test - Points (EXACT): total_masked=39143 correct=3411 right_rate=8.7142%
INFO | - Epoch 026, ExpID 1485 best_epoch=13 improved=0
INFO | Train - Loss (last batch): 0.32742
INFO | Val - Loss, MSE, MAE: 0.74478, 0.74478, 0.32535
